periode,inflasi_yoy_persen,_edisi_sumber,_asal,_data_source_verified
2000-01,0.28,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-02,-0.89,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-03,-1.17,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-04,0.07,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-05,1.2,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-06,2.04,APRIL 2011,sheet historis 'Th2000 - 2003',True
2000-07,66.75,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2000-08,89.55,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2000-09,99.6,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2000-10,117.3,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2000-11,136.8,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2000-12,140.25,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-01,8.28,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-02,9.14,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-03,10.62,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-04,10.51,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-05,10.82,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-06,12.11,APRIL 2011,sheet historis 'Th2000 - 2003',True
2001-07,195.6,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-08,183.45,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-09,195.15,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-10,187.05,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-11,193.65,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2001-12,188.25,APRIL 2011,sheet historis 'Th 2000 - 2003',True
2003-01,8.74,MEI 2026,sheet historis 'Th 2002-2010',True
2003-02,7.34,MEI 2026,sheet historis 'Th 2002-2010',True
2003-03,7.12,MEI 2026,sheet historis 'Th 2002-2010',True
2003-04,7.54,MEI 2026,sheet historis 'Th 2002-2010',True
2003-05,6.91,MEI 2026,sheet historis 'Th 2002-2010',True
2003-06,6.62,MEI 2026,sheet historis 'Th 2002-2010',True
2003-07,5.79,MEI 2026,sheet historis 'Th 2002-2010',True
2003-08,6.38,MEI 2026,sheet historis 'Th 2002-2010',True
2003-09,6.2,MEI 2026,sheet historis 'Th 2002-2010',True
2003-10,6.22,MEI 2026,sheet historis 'Th 2002-2010',True
2003-11,5.33,MEI 2026,sheet historis 'Th 2002-2010',True
2003-12,5.06,MEI 2026,sheet historis 'Th 2002-2010',True
2004-01,4.82,MEI 2026,sheet historis 'Th 2002-2010',True
2004-02,4.6,MEI 2026,sheet historis 'Th 2002-2010',True
2004-03,5.11,MEI 2026,sheet historis 'Th 2002-2010',True
2004-04,5.92,MEI 2026,sheet historis 'Th 2002-2010',True
2004-05,6.47,MEI 2026,sheet historis 'Th 2002-2010',True
2004-06,6.83,MEI 2026,sheet historis 'Th 2002-2010',True
2004-07,7.2,MEI 2026,sheet historis 'Th 2002-2010',True
2004-08,6.67,MEI 2026,sheet historis 'Th 2002-2010',True
2004-09,6.27,MEI 2026,sheet historis 'Th 2002-2010',True
2004-10,6.22,MEI 2026,sheet historis 'Th 2002-2010',True
2004-11,6.18,MEI 2026,sheet historis 'Th 2002-2010',True
2004-12,6.4,MEI 2026,sheet historis 'Th 2002-2010',True
2005-01,7.32,MEI 2026,sheet historis 'Th 2002-2010',True
2005-02,7.15,MEI 2026,sheet historis 'Th 2002-2010',True
2005-03,8.81,MEI 2026,sheet historis 'Th 2002-2010',True
2005-04,8.12,MEI 2026,sheet historis 'Th 2002-2010',True
2005-05,7.4,MEI 2026,sheet historis 'Th 2002-2010',True
2005-06,7.42,MEI 2026,sheet historis 'Th 2002-2010',True
2005-07,7.84,MEI 2026,sheet historis 'Th 2002-2010',True
2005-08,8.34,MEI 2026,sheet historis 'Th 2002-2010',True
2005-09,9.06,MEI 2026,sheet historis 'Th 2002-2010',True
2005-10,17.89,MEI 2026,sheet historis 'Th 2002-2010',True
2005-11,18.38,MEI 2026,sheet historis 'Th 2002-2010',True
2005-12,17.11,MEI 2026,sheet historis 'Th 2002-2010',True
2006-01,17.03,MEI 2026,sheet historis 'Th 2002-2010',True
2006-02,17.92,MEI 2026,sheet historis 'Th 2002-2010',True
2006-03,15.74,MEI 2026,sheet historis 'Th 2002-2010',True
2006-04,15.4,MEI 2026,sheet historis 'Th 2002-2010',True
2006-05,15.6,MEI 2026,sheet historis 'Th 2002-2010',True
2006-06,15.53,MEI 2026,sheet historis 'Th 2002-2010',True
2006-07,15.15,MEI 2026,sheet historis 'Th 2002-2010',True
2006-08,14.9,MEI 2026,sheet historis 'Th 2002-2010',True
2006-09,14.55,MEI 2026,sheet historis 'Th 2002-2010',True
