tahun,bulan,file,ext,status,n_titik_bulan_terbaca,detail,timestamp
2009,JULI,data\raw\groupD\seki_downloads\2009\TABEL8_1_JULI_2009.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:03
2009,AGUSTUS,data\raw\groupD\seki_downloads\2009\TABEL8_1_AGUSTUS_2009.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:05
2009,SEPTEMBER,data\raw\groupD\seki_downloads\2009\TABEL8_1_SEPTEMBER_2009.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:06
2009,OKTOBER,data\raw\groupD\seki_downloads\2009\TABEL8_1_OKTOBER_2009.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:08
2009,NOVEMBER,data\raw\groupD\seki_downloads\2009\TABEL8_1_NOVEMBER_2009.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:09
2009,DESEMBER,data\raw\groupD\seki_downloads\2009\TABEL8_1_DESEMBER_2009.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,JANUARI,data\raw\groupD\seki_downloads\2010\TABEL8_1_JANUARI_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,FEBRUARI,data\raw\groupD\seki_downloads\2010\TABEL8_1_FEBRUARI_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,MARET,data\raw\groupD\seki_downloads\2010\TABEL8_1_MARET_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,APRIL,data\raw\groupD\seki_downloads\2010\TABEL8_1_APRIL_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,MEI,data\raw\groupD\seki_downloads\2010\TABEL8_1_MEI_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,JUNI,data\raw\groupD\seki_downloads\2010\TABEL8_1_JUNI_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,JULI,data\raw\groupD\seki_downloads\2010\TABEL8_1_JULI_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,AGUSTUS,data\raw\groupD\seki_downloads\2010\TABEL8_1_AGUSTUS_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,SEPTEMBER,data\raw\groupD\seki_downloads\2010\TABEL8_1_SEPTEMBER_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,OKTOBER,data\raw\groupD\seki_downloads\2010\TABEL8_1_OKTOBER_2010.xls,xls,failed,0,sheet utama 'pola81': tidak ada label 'UMUM',2026-07-09T10:47:09
2010,NOVEMBER,data\raw\groupD\seki_downloads\2010\TABEL8_1_NOVEMBER_2010.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:10
2010,DESEMBER,data\raw\groupD\seki_downloads\2010\TABEL8_1_DESEMBER_2010.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:11
2011,JANUARI,data\raw\groupD\seki_downloads\2011\TABEL8_1_JANUARI_2011.pdf,pdf,failed,0,tidak ada baris 'Tahun ke Tahun' / 'Year on Year' ditemukan di PDF ini,2026-07-09T10:47:12
2011,FEBRUARI,data\raw\groupD\seki_downloads\2011\TABEL8_1_FEBRUARI_2011.pdf,pdf,ok,25,,2026-07-09T10:47:13
2011,MARET,data\raw\groupD\seki_downloads\2011\TABEL8_1_MARET_2011.pdf,pdf,ok,25,,2026-07-09T10:47:13
2011,APRIL,data\raw\groupD\seki_downloads\2011\TABEL8_1_APRIL_2011.xls,xls,ok,184,,2026-07-09T10:47:13
2011,MEI,data\raw\groupD\seki_downloads\2011\TABEL8_1_MEI_2011.pdf,pdf,ok,25,,2026-07-09T10:47:14
2011,JUNI,data\raw\groupD\seki_downloads\2011\TABEL8_1_JUNI_2011.pdf,pdf,ok,25,,2026-07-09T10:47:14
2011,JULI,data\raw\groupD\seki_downloads\2011\TABEL8_1_JULI_2011.pdf,pdf,ok,25,,2026-07-09T10:47:15
2011,AGUSTUS,data\raw\groupD\seki_downloads\2011\TABEL8_1_AGUSTUS_2011.pdf,pdf,ok,25,,2026-07-09T10:47:16
2011,SEPTEMBER,data\raw\groupD\seki_downloads\2011\TABEL8_1_SEPTEMBER_2011.pdf,pdf,ok,25,,2026-07-09T10:47:16
2011,OKTOBER,data\raw\groupD\seki_downloads\2011\TABEL8_1_OKTOBER_2011.pdf,pdf,ok,25,,2026-07-09T10:47:17
2011,NOVEMBER,data\raw\groupD\seki_downloads\2011\TABEL8_1_NOVEMBER_2011.pdf,pdf,ok,25,,2026-07-09T10:47:17
2011,DESEMBER,data\raw\groupD\seki_downloads\2011\TABEL8_1_DESEMBER_2011.pdf,pdf,ok,25,,2026-07-09T10:47:18
2012,JANUARI,data\raw\groupD\seki_downloads\2012\TABEL8_1_JANUARI_2012.pdf,pdf,ok,25,,2026-07-09T10:47:19
2012,FEBRUARI,data\raw\groupD\seki_downloads\2012\TABEL8_1_FEBRUARI_2012.pdf,pdf,ok,25,,2026-07-09T10:47:19
2012,MARET,data\raw\groupD\seki_downloads\2012\TABEL8_1_MARET_2012.pdf,pdf,ok,25,,2026-07-09T10:47:20
2012,APRIL,data\raw\groupD\seki_downloads\2012\TABEL8_1_APRIL_2012.pdf,pdf,ok,25,,2026-07-09T10:47:20
2012,MEI,data\raw\groupD\seki_downloads\2012\TABEL8_1_MEI_2012.pdf,pdf,ok,25,,2026-07-09T10:47:21
2012,JUNI,data\raw\groupD\seki_downloads\2012\TABEL8_1_JUNI_2012.pdf,pdf,ok,25,,2026-07-09T10:47:21
2012,JULI,data\raw\groupD\seki_downloads\2012\TABEL8_1_JULI_2012.pdf,pdf,ok,25,,2026-07-09T10:47:21
2012,AGUSTUS,data\raw\groupD\seki_downloads\2012\TABEL8_1_AGUSTUS_2012.pdf,pdf,ok,25,,2026-07-09T10:47:22
2012,SEPTEMBER,data\raw\groupD\seki_downloads\2012\TABEL8_1_SEPTEMBER_2012.pdf,pdf,ok,25,,2026-07-09T10:47:22
2012,OKTOBER,data\raw\groupD\seki_downloads\2012\TABEL8_1_OKTOBER_2012.pdf,pdf,ok,25,,2026-07-09T10:47:22
2012,NOVEMBER,data\raw\groupD\seki_downloads\2012\TABEL8_1_NOVEMBER_2012.pdf,pdf,ok,25,,2026-07-09T10:47:23
2012,DESEMBER,data\raw\groupD\seki_downloads\2012\TABEL8_1_DESEMBER_2012.pdf,pdf,ok,25,,2026-07-09T10:47:23
2013,JANUARI,data\raw\groupD\seki_downloads\2013\TABEL8_1_JANUARI_2013.pdf,pdf,ok,25,,2026-07-09T10:47:23
2013,FEBRUARI,data\raw\groupD\seki_downloads\2013\TABEL8_1_FEBRUARI_2013.pdf,pdf,ok,25,,2026-07-09T10:47:24
2013,MARET,data\raw\groupD\seki_downloads\2013\TABEL8_1_MARET_2013.pdf,pdf,ok,25,,2026-07-09T10:47:24
2013,APRIL,data\raw\groupD\seki_downloads\2013\TABEL8_1_APRIL_2013.pdf,pdf,ok,25,,2026-07-09T10:47:24
2013,MEI,data\raw\groupD\seki_downloads\2013\TABEL8_1_MEI_2013.pdf,pdf,ok,25,,2026-07-09T10:47:25
2013,JUNI,data\raw\groupD\seki_downloads\2013\TABEL8_1_JUNI_2013.pdf,pdf,ok,25,,2026-07-09T10:47:25
2013,JULI,data\raw\groupD\seki_downloads\2013\TABEL8_1_JULI_2013.pdf,pdf,ok,25,,2026-07-09T10:47:26
2013,AGUSTUS,data\raw\groupD\seki_downloads\2013\TABEL8_1_AGUSTUS_2013.pdf,pdf,ok,25,,2026-07-09T10:47:26
2013,SEPTEMBER,data\raw\groupD\seki_downloads\2013\TABEL8_1_SEPTEMBER_2013.pdf,pdf,ok,25,,2026-07-09T10:47:26
2013,OKTOBER,data\raw\groupD\seki_downloads\2013\TABEL8_1_OKTOBER_2013.pdf,pdf,ok,25,,2026-07-09T10:47:27
2013,NOVEMBER,data\raw\groupD\seki_downloads\2013\TABEL8_1_NOVEMBER_2013.pdf,pdf,ok,25,,2026-07-09T10:47:27
2013,DESEMBER,data\raw\groupD\seki_downloads\2013\TABEL8_1_DESEMBER_2013.pdf,pdf,ok,25,,2026-07-09T10:47:28
2014,JANUARI,data\raw\groupD\seki_downloads\2014\TABEL8_1_JANUARI_2014.pdf,pdf,ok,25,,2026-07-09T10:47:28
2014,FEBRUARI,data\raw\groupD\seki_downloads\2014\TABEL8_1_FEBRUARI_2014.pdf,pdf,ok,25,,2026-07-09T10:47:28
2014,MARET,data\raw\groupD\seki_downloads\2014\TABEL8_1_MARET_2014.pdf,pdf,ok,25,,2026-07-09T10:47:29
2014,APRIL,data\raw\groupD\seki_downloads\2014\TABEL8_1_APRIL_2014.pdf,pdf,ok,25,,2026-07-09T10:47:29
2014,MEI,data\raw\groupD\seki_downloads\2014\TABEL8_1_MEI_2014.pdf,pdf,ok,25,,2026-07-09T10:47:29
2014,JUNI,data\raw\groupD\seki_downloads\2014\TABEL8_1_JUNI_2014.pdf,pdf,ok,25,,2026-07-09T10:47:30
2014,JULI,data\raw\groupD\seki_downloads\2014\TABEL8_1_JULI_2014.pdf,pdf,ok,25,,2026-07-09T10:47:30
2014,AGUSTUS,data\raw\groupD\seki_downloads\2014\TABEL8_1_AGUSTUS_2014.pdf,pdf,ok,25,,2026-07-09T10:47:30
2014,SEPTEMBER,data\raw\groupD\seki_downloads\2014\TABEL8_1_SEPTEMBER_2014.pdf,pdf,ok,25,,2026-07-09T10:47:31
2014,OKTOBER,data\raw\groupD\seki_downloads\2014\TABEL8_1_OKTOBER_2014.pdf,pdf,ok,25,,2026-07-09T10:47:31
2014,NOVEMBER,data\raw\groupD\seki_downloads\2014\TABEL8_1_NOVEMBER_2014.pdf,pdf,partial,24,"halaman 2: 1 dari 15 kolom bulan tidak punya nilai (tanda '-' di tabel asli, atau tidak terbaca) - kolom lain tetap dipakai apa adanya",2026-07-09T10:47:32
2014,DESEMBER,data\raw\groupD\seki_downloads\2014\TABEL8_1_DESEMBER_2014.pdf,pdf,ok,25,,2026-07-09T10:47:32
2015,JANUARI,data\raw\groupD\seki_downloads\2015\TABEL8_1_JANUARI_2015.pdf,pdf,ok,25,,2026-07-09T10:47:32
2015,FEBRUARI,data\raw\groupD\seki_downloads\2015\TABEL8_1_FEBRUARI_2015.pdf,pdf,ok,25,,2026-07-09T10:47:33
2015,MARET,data\raw\groupD\seki_downloads\2015\TABEL8_1_MARET_2015.pdf,pdf,ok,25,,2026-07-09T10:47:33
2015,APRIL,data\raw\groupD\seki_downloads\2015\TABEL8_1_APRIL_2015.pdf,pdf,ok,25,,2026-07-09T10:47:33
2015,MEI,data\raw\groupD\seki_downloads\2015\TABEL8_1_MEI_2015.pdf,pdf,ok,25,,2026-07-09T10:47:34
2015,JUNI,data\raw\groupD\seki_downloads\2015\TABEL8_1_JUNI_2015.pdf,pdf,ok,25,,2026-07-09T10:47:34
2015,JULI,data\raw\groupD\seki_downloads\2015\TABEL8_1_JULI_2015.pdf,pdf,ok,25,,2026-07-09T10:47:35
2015,AGUSTUS,data\raw\groupD\seki_downloads\2015\TABEL8_1_AGUSTUS_2015.pdf,pdf,ok,25,,2026-07-09T10:47:35
2015,SEPTEMBER,data\raw\groupD\seki_downloads\2015\TABEL8_1_SEPTEMBER_2015.pdf,pdf,ok,25,,2026-07-09T10:47:35
2015,OKTOBER,data\raw\groupD\seki_downloads\2015\TABEL8_1_OKTOBER_2015.pdf,pdf,ok,25,,2026-07-09T10:47:36
2015,NOVEMBER,data\raw\groupD\seki_downloads\2015\TABEL8_1_NOVEMBER_2015.pdf,pdf,ok,25,,2026-07-09T10:47:36
2015,DESEMBER,data\raw\groupD\seki_downloads\2015\TABEL8_1_DESEMBER_2015.pdf,pdf,ok,25,,2026-07-09T10:47:37
2016,JANUARI,data\raw\groupD\seki_downloads\2016\TABEL8_1_JANUARI_2016.pdf,pdf,ok,25,,2026-07-09T10:47:38
2016,FEBRUARI,data\raw\groupD\seki_downloads\2016\TABEL8_1_FEBRUARI_2016.pdf,pdf,ok,25,,2026-07-09T10:47:39
2016,MARET,data\raw\groupD\seki_downloads\2016\TABEL8_1_MARET_2016.pdf,pdf,ok,25,,2026-07-09T10:47:40
2016,APRIL,data\raw\groupD\seki_downloads\2016\TABEL8_1_APRIL_2016.pdf,pdf,ok,25,,2026-07-09T10:47:40
2016,MEI,data\raw\groupD\seki_downloads\2016\TABEL8_1_MEI_2016.pdf,pdf,ok,25,,2026-07-09T10:47:41
