id,periode,inflasi_yoy_persen,kategori,satuan,data_source
1,200001,0.28,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
2,200002,-0.89,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
3,200003,-1.17,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
4,200004,0.07,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
5,200005,1.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
6,200006,2.04,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
7,200007,66.75,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
8,200008,89.55,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
9,200009,99.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
10,200010,117.3,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
11,200011,136.8,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
12,200012,140.25,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
13,200101,8.28,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
14,200102,9.14,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
15,200103,10.62,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
16,200104,10.51,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
17,200105,10.82,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
18,200106,12.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
19,200107,195.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
20,200108,183.45,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
21,200109,195.15,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
22,200110,187.05,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
23,200111,193.65,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
24,200112,188.25,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2011.aspx
25,200301,8.74,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
26,200302,7.34,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
27,200303,7.12,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
28,200304,7.54,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
29,200305,6.91,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
30,200306,6.62,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
31,200307,5.79,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
32,200308,6.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
33,200309,6.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
34,200310,6.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
35,200311,5.33,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
36,200312,5.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
37,200401,4.82,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
38,200402,4.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
39,200403,5.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
40,200404,5.92,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
41,200405,6.47,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
42,200406,6.83,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
43,200407,7.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
44,200408,6.67,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
45,200409,6.27,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
46,200410,6.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
47,200411,6.18,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
48,200412,6.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
49,200501,7.32,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
50,200502,7.15,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
51,200503,8.81,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
52,200504,8.12,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
53,200505,7.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
54,200506,7.42,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
55,200507,7.84,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
56,200508,8.34,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
57,200509,9.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
58,200510,17.89,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
59,200511,18.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
60,200512,17.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
61,200601,17.03,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
62,200602,17.92,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
63,200603,15.74,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
64,200604,15.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
65,200605,15.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
66,200606,15.53,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
