periode,inflasi_yoy_persen,_edisi_sumber,_asal,_data_source_verified
200001,0.28,APRIL 2011,sheet historis 'Th2000 - 2003',False
200002,-0.89,APRIL 2011,sheet historis 'Th2000 - 2003',False
200003,-1.17,APRIL 2011,sheet historis 'Th2000 - 2003',False
200004,0.07,APRIL 2011,sheet historis 'Th2000 - 2003',False
200005,1.2,APRIL 2011,sheet historis 'Th2000 - 2003',False
200006,2.04,APRIL 2011,sheet historis 'Th2000 - 2003',False
200007,66.75,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200008,89.55,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200009,99.6,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200010,117.3,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200011,136.8,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200012,140.25,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200101,8.28,APRIL 2011,sheet historis 'Th2000 - 2003',False
200102,9.14,APRIL 2011,sheet historis 'Th2000 - 2003',False
200103,10.62,APRIL 2011,sheet historis 'Th2000 - 2003',False
200104,10.51,APRIL 2011,sheet historis 'Th2000 - 2003',False
200105,10.82,APRIL 2011,sheet historis 'Th2000 - 2003',False
200106,12.11,APRIL 2011,sheet historis 'Th2000 - 2003',False
200107,195.6,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200108,183.45,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200109,195.15,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200110,187.05,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200111,193.65,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200112,188.25,APRIL 2011,sheet historis 'Th 2000 - 2003',False
200301,8.74,MEI 2026,sheet historis 'Th 2002-2010',False
200302,7.34,MEI 2026,sheet historis 'Th 2002-2010',False
200303,7.12,MEI 2026,sheet historis 'Th 2002-2010',False
200304,7.54,MEI 2026,sheet historis 'Th 2002-2010',False
200305,6.91,MEI 2026,sheet historis 'Th 2002-2010',False
200306,6.62,MEI 2026,sheet historis 'Th 2002-2010',False
200307,5.79,MEI 2026,sheet historis 'Th 2002-2010',False
200308,6.38,MEI 2026,sheet historis 'Th 2002-2010',False
200309,6.2,MEI 2026,sheet historis 'Th 2002-2010',False
200310,6.22,MEI 2026,sheet historis 'Th 2002-2010',False
200311,5.33,MEI 2026,sheet historis 'Th 2002-2010',False
200312,5.06,MEI 2026,sheet historis 'Th 2002-2010',False
200401,4.82,MEI 2026,sheet historis 'Th 2002-2010',False
200402,4.6,MEI 2026,sheet historis 'Th 2002-2010',False
