0,1,2,3,4,5,6,7,8,9,10,11
"Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016"
Perkotaan+Perdesaan,Perkotaan+Perdesaan,Perkotaan+Perdesaan,,,,,,,,Laki-laki+Perempuan,Laki-laki+Perempuan
Provinsi,Provinsi,Februari 2016,Februari 2016,Februari 2016,Februari 2016,Jumlah,Agustus 2016,Agustus 2016,Agustus 2016,Agustus 2016,Jumlah
Provinsi,Provinsi,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Jumlah,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
(1),(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
Aceh,Aceh,7846,"1 294,4","1 148,3","1 113,4","1 112,4","1 282,8","1 131,8","1 301,9","1 348,9","1 262,3"
Sumatera Utara,Sumatera Utara,9542,"1 057,9","1 303,4","1 206,2","1 164,6","1 130,5","1 526,6","1 309,9","1 428,8","1 376,8"
