38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,6.69,6.94,5.31,3.88,5.12,-,-,-,-,-,-,-,-
PROV SUMATERA UTARA,3.81,4.71,3.86,2.92,4.35,-,-,-,-,-,-,-,-
PROV SUMATERA BARAT,3.92,4.39,3.37,1.97,3.91,-,-,-,-,-,-,-,-
PROV RIAU,4.43,5.3,3.65,2.37,3.95,-,-,-,-,-,-,-,-
PROV JAMBI,3.35,4.59,3.55,2.1,3.56,-,-,-,-,-,-,-,-
PROV SUMATERA SELATAN,3.33,4.36,3.09,1.63,2.61,-,-,-,-,-,-,-,-
PROV BENGKULU,2.61,3.88,2.85,1.87,3.01,-,-,-,-,-,-,-,-
PROV LAMPUNG,1.9,2.95,1.16,0.53,1.94,-,-,-,-,-,-,-,-
PROV KEPULAUAN BANGKA BELITUNG,3.95,3.31,1.87,1.49,2.46,-,-,-,-,-,-,-,-
PROV KEPULAUAN RIAU,2.94,3.54,3.23,3.06,3.92,-,-,-,-,-,-,-,-
PROV DKI JAKARTA,3.96,4.91,3.37,2.12,2.49,-,-,-,-,-,-,-,-
PROV JAWA BARAT,3.24,4.71,3.6,2.49,3.07,-,-,-,-,-,-,-,-
PROV JAWA TENGAH,2.83,4.43,3.54,2.11,2.85,-,-,-,-,-,-,-,-
PROV DI YOGYAKARTA,3.3,4.91,4.08,2.46,2.77,-,-,-,-,-,-,-,-
PROV JAWA TIMUR,3.29,4.88,3.79,2.85,3.49,-,-,-,-,-,-,-,-
PROV BANTEN,3.48,5.14,3.55,2.14,2.7,-,-,-,-,-,-,-,-
PROV BALI,2.58,3.89,2.81,2.08,2.99,-,-,-,-,-,-,-,-
PROV NUSA TENGGARA BARAT,3.86,5.37,4.09,3.27,3.78,-,-,-,-,-,-,-,-
PROV NUSA TENGGARA TIMUR,3.34,3.42,2.4,2.62,2.76,-,-,-,-,-,-,-,-
PROV KALIMANTAN BARAT,3.33,3.9,2.89,2.5,3.29,-,-,-,-,-,-,-,-
PROV KALIMANTAN TENGAH,4.09,5.06,3.86,3.66,4.56,-,-,-,-,-,-,-,-
PROV KALIMANTAN SELATAN,4.66,5.97,4.83,3.67,4.22,-,-,-,-,-,-,-,-
PROV KALIMANTAN TIMUR,3.76,4.64,3.31,2.5,3.04,-,-,-,-,-,-,-,-
PROV KALIMANTAN UTARA,4.08,4.75,3.12,2.68,2.9,-,-,-,-,-,-,-,-
PROV SULAWESI UTARA,3.04,4.64,2.2,2.14,2.33,-,-,-,-,-,-,-,-
PROV SULAWESI TENGAH,4.55,5.33,2.83,2.21,2.77,-,-,-,-,-,-,-,-
PROV SULAWESI SELATAN,4.11,6.13,4.5,2.68,3.12,-,-,-,-,-,-,-,-
PROV SULAWESI TENGGARA,5.1,5.41,3.37,2.98,4.07,-,-,-,-,-,-,-,-
PROV GORONTALO,4.53,5.3,2.6,2.24,2.99,-,-,-,-,-,-,-,-
PROV SULAWESI BARAT,4.34,5.15,2.94,1.66,1.99,-,-,-,-,-,-,-,-
PROV MALUKU,4.7,5.97,3.4,3.13,3.27,-,-,-,-,-,-,-,-
PROV MALUKU UTARA,4.86,5.85,2.56,2.03,2.82,-,-,-,-,-,-,-,-
PROV PAPUA BARAT,5.02,5.83,3.51,5,5.94,-,-,-,-,-,-,-,-
PROV PAPUA BARAT DAYA,3.75,4.16,4.09,3.85,3.8,-,-,-,-,-,-,-,-
PROV PAPUA,3.33,3.94,3.5,3.8,2.79,-,-,-,-,-,-,-,-
PROV PAPUA SELATAN,4.83,5.5,3.6,3.34,2.17,-,-,-,-,-,-,-,-
PROV PAPUA TENGAH,4.85,4.93,2.54,1.53,2.05,-,-,-,-,-,-,-,-
PROV PAPUA PEGUNUNGAN,2.93,0.63,3.14,4.89,4.44,-,-,-,-,-,-,-,-
INDONESIA,3.55,4.76,3.48,2.42,3.08,-,-,-,-,-,-,-,-
