38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2026,,
,Februari,Agustus,Tahunan
ACEH,5.88,-,-
SUMATERA UTARA,5.01,-,-
SUMATERA BARAT,5.51,-,-
RIAU,4.09,-,-
JAMBI,3.99,-,-
SUMATERA SELATAN,3.59,-,-
BENGKULU,3.23,-,-
LAMPUNG,3.95,-,-
KEP. BANGKA BELITUNG,4.15,-,-
KEP. RIAU,6.87,-,-
DKI JAKARTA,6.03,-,-
JAWA BARAT,6.64,-,-
JAWA TENGAH,4.24,-,-
DI YOGYAKARTA,3.05,-,-
JAWA TIMUR,3.55,-,-
BANTEN,6.59,-,-
BALI,1.59,-,-
NUSA TENGGARA BARAT,2.99,-,-
NUSA TENGGARA TIMUR,3.16,-,-
KALIMANTAN BARAT,4.57,-,-
KALIMANTAN TENGAH,3.44,-,-
KALIMANTAN SELATAN,3.8,-,-
KALIMANTAN TIMUR,5.27,-,-
KALIMANTAN UTARA,3.9,-,-
SULAWESI UTARA,5.75,-,-
SULAWESI TENGAH,2.95,-,-
SULAWESI SELATAN,4.95,-,-
SULAWESI TENGGARA,3.25,-,-
GORONTALO,3.17,-,-
SULAWESI BARAT,2.93,-,-
MALUKU,5.8,-,-
MALUKU UTARA,4.46,-,-
PAPUA BARAT,4.1,-,-
PAPUA BARAT DAYA,6.41,-,-
PAPUA,7.02,-,-
PAPUA SELATAN,5.25,-,-
PAPUA TENGAH,3.83,-,-
PAPUA PEGUNUNGAN,1.7,-,-
INDONESIA,4.68,-,-
