Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Malaysia,211174,199216,186526,207957,-,-,-,-,-,-,-,-,-
Singapore,109470,109334,102822,111439,-,-,-,-,-,-,-,-,-
Timor Leste,95091,70083,63857,75477,-,-,-,-,-,-,-,-,-
Indonesia,51696,65525,78231,47745,-,-,-,-,-,-,-,-,-
Philippines,19248,19806,17675,21410,-,-,-,-,-,-,-,-,-
Thailand,6472,6874,5795,11465,-,-,-,-,-,-,-,-,-
Vietnam,6098,7677,6145,8886,-,-,-,-,-,-,-,-,-
Myanmar/Burma,3754,5560,4171,5473,-,-,-,-,-,-,-,-,-
Brunei Darussalam,2836,1976,1765,2025,-,-,-,-,-,-,-,-,-
Kamboja,903,941,718,1175,-,-,-,-,-,-,-,-,-
Laos,224,231,411,371,-,-,-,-,-,-,-,-,-
<b>A S E A N</b>,506966,487223,468116,493423,-,-,-,-,-,-,-,-,-
"Hongkong, RRT",9477,11573,9575,13686,-,-,-,-,-,-,-,-,-
Republik Rakyat Tiongkok,110973,150822,95945,133986,-,-,-,-,-,-,-,-,-
India,50160,53134,53801,62757,-,-,-,-,-,-,-,-,-
South Korea,45175,40508,29763,34749,-,-,-,-,-,-,-,-,-
Japan,21990,31358,30244,28462,-,-,-,-,-,-,-,-,-
Turki,6404,3951,4721,5406,-,-,-,-,-,-,-,-,-
Mongolia,5447,1383,664,632,-,-,-,-,-,-,-,-,-
Kazakhstan,4795,3453,2729,2713,-,-,-,-,-,-,-,-,-
Pakistan,3565,2777,1707,3128,-,-,-,-,-,-,-,-,-
Uzbekistan,2627,1413,779,1204,-,-,-,-,-,-,-,-,-
Bangladesh,1638,1556,1514,1275,-,-,-,-,-,-,-,-,-
Nepal,1428,1398,1307,1343,-,-,-,-,-,-,-,-,-
Taiwan,14071,23379,13880,18973,-,-,-,-,-,-,-,-,-
