id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
1,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,,nan,2010,Triwulan I,926097.5,2026-07-09 11:56:13.319
2,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,,nan,2010,Triwulan II,937226.82,2026-07-09 11:56:13.319
3,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,,nan,2010,Triwulan III,959649.86,2026-07-09 11:56:13.319
4,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,,nan,2010,Triwulan IV,963088.73,2026-07-09 11:56:13.319
5,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,,nan,2010,Tahunan,3786062.9,2026-07-09 11:56:13.319
6,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2010,Triwulan I,359662.22,2026-07-09 11:56:13.319
7,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2010,Triwulan II,361890.62,2026-07-09 11:56:13.319
8,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2010,Triwulan III,364944.41,2026-07-09 11:56:13.319
9,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2010,Triwulan IV,371102.15,2026-07-09 11:56:13.319
10,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2010,Tahunan,1457599.41,2026-07-09 11:56:13.319
11,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2010,Triwulan I,37377.43,2026-07-09 11:56:13.319
12,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2010,Triwulan II,38019.27,2026-07-09 11:56:13.319
13,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2010,Triwulan III,40226.21,2026-07-09 11:56:13.319
14,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2010,Triwulan IV,38599.32,2026-07-09 11:56:13.319
