id,tahun,kuartal,growth_pct,data_source
1,2011,1,6.48,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
2,2011,2,6.27,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
3,2011,3,6.01,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
4,2011,4,5.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
5,2012,1,6.11,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
6,2012,2,6.21,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
7,2012,3,5.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
8,2012,4,5.87,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
9,2013,1,5.54,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
10,2013,2,5.59,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
11,2013,3,5.52,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
12,2013,4,5.58,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
13,2014,1,5.12,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
14,2014,2,4.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
15,2014,3,4.93,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
16,2014,4,5.05,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
17,2015,1,4.83,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
18,2015,2,4.74,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
19,2015,3,4.78,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
20,2015,4,5.15,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
21,2016,1,4.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
22,2016,2,5.21,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
23,2016,3,5.03,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
24,2016,4,4.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
25,2017,1,5.01,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
26,2017,2,5.01,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
27,2017,3,5.06,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
28,2017,4,5.19,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
29,2018,1,5.07,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
30,2018,2,5.27,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
31,2018,3,5.17,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
32,2018,4,5.18,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
33,2019,1,5.06,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
34,2019,2,5.05,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
35,2019,3,5.01,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
36,2019,4,4.96,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
37,2020,1,2.97,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
38,2020,2,-5.32,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
39,2020,3,-3.49,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
40,2020,4,-2.17,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
41,2021,1,-0.69,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
42,2021,2,7.08,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
43,2021,3,3.53,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
44,2021,4,5.03,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
45,2022,1,5.02,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
46,2022,2,5.46,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
47,2022,3,5.73,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
48,2022,4,5.01,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
49,2023,1,5.04,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
50,2023,2,5.17,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
51,2023,3,4.94,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
52,2023,4,5.04,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
53,2024,1,5.11,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
54,2024,2,5.05,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
55,2024,3,4.95,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html
