provinsi,agustus_2023,februari_2024,agustus_2024,februari_2025,agustus_2025
Aceh,2594530,2565474,2624922,2884151,2837520
Sumatera Utara,2610584,2536687,2760361,2647529,2815066
Sumatera Barat,2753517,2624985,2772393,2831404,2911450
Riau,3011040,3132054,3139242,3083274,3144261
Jambi,2668478,2598253,2831081,2789581,2975646
Sumatera Selatan,2767669,2622784,2886117,2727684,3015055
Bengkulu,2740734,2503647,2839093,2566215,2935681
Lampung,2424538,2197378,2517788,2320932,2520619
Kepulauan Bangka Belitung,3221747,3240766,3264692,3155887,3202690
Kepulauan Riau,4651057,4442582,4911036,4741492,4768990
DKI Jakarta,5532624,5245339,5806940,4878943,5903603
Jawa Barat,3674236,3352200,3774498,3258613,3768080
Jawa Tengah,2321344,2252660,2405447,2441045,2528470
D.I. Yogyakarta,2705601,2747486,2829890,2914645,2924613
Jawa Timur,2654068,2504262,2713383,2625050,2899074
Banten,4378058,4373788,4392768,4168622,4062488
Bali,3380840,3252629,3403265,3617339,3639413
Nusa Tenggara Barat,2344661,2310968,2365102,2377411,2569181
Nusa Tenggara Timur,2339851,2351384,2370111,2341352,2674136
Kalimantan Barat,2796615,2815188,2904061,2829690,2972111
Kalimantan Tengah,3323457,3088199,3384610,3265545,3451676
Kalimantan Selatan,3066884,3233740,3239646,3269734,3164480
Kalimantan Timur,4068893,4234455,4400771,4439658,4475944
Kalimantan Utara,3599653,3625922,3748909,4355707,3675921
Sulawesi Utara,3282230,3222825,3453051,3332950,3420935
Sulawesi Tengah,2648195,2593831,2863721,3077492,3056120
Sulawesi Selatan,2969920,2837690,2992571,2956256,3060385
Sulawesi Tenggara,2876321,2968534,2954690,2928215,3189724
Gorontalo,2570181,2623130,2605876,2506904,2911813
Sulawesi Barat,2367534,2283344,2443110,2608578,2698528
Maluku,2865989,2947443,2925208,2866807,3100805
Maluku Utara,3267084,2960526,3456786,3666126,3620219
Papua Barat,3540427,3001058,3392758,3459119,3765973
Papua Barat Daya,3650773,3717604,3739328,3644386,3837947
Papua,4012358,4559275,4151674,3984589,4426645
Papua Selatan,3416347,4464615,3639485,3865415,4264963
Papua Tengah,5742393,4436017,5071157,4747826,4808336
Papua Pegunungan,4723867,4556451,4089877,4133474,3941546
Indonesia,3178227,3040719,3267618,3094818,3331012
