tahun,bulan,page_url
2026,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
2026,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2026.aspx
2026,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2026.aspx
2026,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2026.aspx
2026,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2026.aspx
2025,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2025.aspx
2025,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2025.aspx
2025,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2025.aspx
2025,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2025.aspx
2025,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2025.aspx
2025,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2025.aspx
2025,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2025.aspx
2025,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2025.aspx
2025,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2025.aspx
2025,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2025.aspx
2025,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2025.aspx
2025,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2025.aspx
2024,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2024.aspx
2024,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2024.aspx
2024,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2024.aspx
2024,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2024.aspx
2024,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2024.aspx
2024,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2024.aspx
2024,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2024.aspx
2024,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2024.aspx
2024,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2024.aspx
2024,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2024.aspx
2024,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2024.aspx
2024,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2024.aspx
2023,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2023.aspx
2023,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2023.aspx
2023,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2023.aspx
2023,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2023.aspx
2023,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2023.aspx
2023,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2023.aspx
2023,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2023.aspx
2023,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2023.aspx
2023,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2023.aspx
2023,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2023.aspx
2023,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2023.aspx
2023,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2023.aspx
2022,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2022.aspx
2022,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2022.aspx
2022,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2022.aspx
2022,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2022.aspx
2022,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2022.aspx
2022,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2022.aspx
2022,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2022.aspx
2022,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2022.aspx
2022,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2022.aspx
2022,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2022.aspx
2022,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2022.aspx
