tahun,bulan,status,detail,timestamp
2026,JULI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2026.aspx,2026-07-08T12:31:30
2026,JUNI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2026.aspx,2026-07-08T12:31:31
2026,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2026.zip,2026-07-08T12:31:37
2026,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2026.zip,2026-07-08T12:31:43
2026,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2026.zip,2026-07-08T12:31:49
2026,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2026.zip,2026-07-08T12:31:54
2026,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2026.zip,2026-07-08T12:32:00
2025,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2025.zip,2026-07-08T12:32:06
2025,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2025.zip,2026-07-08T12:32:13
2025,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2025.zip,2026-07-08T12:32:36
2025,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2025.zip,2026-07-08T12:32:42
2025,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2025.zip,2026-07-08T12:32:47
2025,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2025.zip,2026-07-08T12:32:53
2025,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2025.zip,2026-07-08T12:32:59
2025,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2025.zip,2026-07-08T12:33:05
2025,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2025.zip,2026-07-08T12:33:10
2025,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2025.zip,2026-07-08T12:33:36
2025,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2025.zip,2026-07-08T12:33:41
2025,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2025.zip,2026-07-08T12:33:46
2024,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2024.zip,2026-07-08T12:33:52
2024,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2024.zip,2026-07-08T12:33:58
2024,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2024.zip,2026-07-08T12:34:04
2024,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2024.zip,2026-07-08T12:34:11
2024,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2024.zip,2026-07-08T12:34:35
2024,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2024.zip,2026-07-08T12:34:40
2024,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2024.zip,2026-07-08T12:34:45
2024,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2024.zip,2026-07-08T12:34:51
2024,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2024.zip,2026-07-08T12:34:56
2024,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2024.zip,2026-07-08T12:35:01
2024,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2024.zip,2026-07-08T12:35:06
2024,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2024.zip,2026-07-08T12:35:11
2023,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2023.zip,2026-07-08T12:35:37
2023,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2023.zip,2026-07-08T12:35:41
2023,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2023.zip,2026-07-08T12:35:46
2023,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2023.zip,2026-07-08T12:35:51
2023,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2023.zip,2026-07-08T12:35:56
2023,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2023.zip,2026-07-08T12:36:00
2023,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2023.zip,2026-07-08T12:36:07
2023,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2023.zip,2026-07-08T12:36:11
2023,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2023.zip,2026-07-08T12:36:35
2023,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2023.zip,2026-07-08T12:36:40
2023,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2023.zip,2026-07-08T12:36:44
2023,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2023.zip,2026-07-08T12:36:49
2022,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2022.zip,2026-07-08T12:36:54
2022,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2022.zip,2026-07-08T12:36:58
2022,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2022.zip,2026-07-08T12:37:03
2022,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2022.zip,2026-07-08T12:37:07
2022,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2022.zip,2026-07-08T12:37:12
2022,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2022.zip,2026-07-08T12:37:37
2022,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2022.zip,2026-07-08T12:37:42
2022,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2022.zip,2026-07-08T12:37:46
2022,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2022.zip,2026-07-08T12:37:50
2022,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2022.zip,2026-07-08T12:37:55
2022,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2022.zip,2026-07-08T12:38:00
2022,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2022.zip,2026-07-08T12:38:04
2021,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2021.zip,2026-07-08T12:38:09
2021,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2021.zip,2026-07-08T12:38:14
2021,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2021.zip,2026-07-08T12:38:39
2021,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2021.zip,2026-07-08T12:38:47
2021,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2021.zip,2026-07-08T12:38:54
2021,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2021.zip,2026-07-08T12:38:58
2021,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2021.zip,2026-07-08T12:39:02
2021,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20MEI%202021.zip,2026-07-08T12:39:07
2021,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20APRIL%202021.zip,2026-07-08T12:39:11
2021,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20MARET%202021.zip,2026-07-08T12:39:36
2021,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20FEBRUARI%202021.zip,2026-07-08T12:39:40
2021,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20JANUARI%202021.zip,2026-07-08T12:39:45
